,City,Country,Date,Latitude,Longitude,Max Temp (F),Humidity,Cloud Coverage (%),Wind (MPH)
0,Punta Arenas,CL,1666485490,-53.15,-70.9167,44.71,87,100,8.05
1,Hobart,AU,1666485308,-42.8794,147.3294,55.26,69,75,18.41
2,Cape Town,ZA,1666485300,-33.9258,18.4232,66.38,76,0,12.66
3,Kapaa,US,1666485491,22.0752,-159.319,85.98,75,40,13.8
4,Bredasdorp,ZA,1666485492,-34.5322,20.0403,63.68,91,97,12.53
5,Burnie,AU,1666485492,-41.0667,145.9167,53.94,84,100,16.13
6,San Cristobal,VE,1666485492,7.7669,-72.225,71.78,96,100,1.36
7,Bovenden,DE,1666485493,51.5833,9.9333,56.82,89,100,4.38
8,Aksha,RU,1666485493,50.2814,113.2867,32.67,70,20,3.24
9,Polovinnoye,RU,1666485494,54.7914,65.9864,28.18,77,10,14.83
10,Chipinge,ZW,1666485494,-20.1883,32.6236,60.57,86,6,3.91
11,Albany,US,1666485167,42.6001,-73.9662,55.67,73,83,1.43
12,Nome,US,1666485495,64.5011,-165.4064,37.47,82,100,11.5
13,Comodoro Rivadavia,AR,1666485243,-45.8667,-67.5,53.46,26,0,6.91
14,Boyolangu,ID,1666485496,-8.1181,111.8935,82.65,76,100,2.01
15,Deputatsky,RU,1666485201,69.3,139.9,1.38,93,100,5.14
16,Busselton,AU,1666485496,-33.65,115.3333,61.48,69,100,2.24
17,Clyde River,CA,1666485202,70.4692,-68.5914,23.23,93,100,9.22
18,Hilo,US,1666485497,19.7297,-155.09,83.93,68,40,10.36
19,Montepuez,MZ,1666485498,-13.1256,38.9997,65.32,94,83,5.77
20,Ambunti,PG,1666485498,-4.2365,142.8448,85.46,72,78,1.61
21,Dikson,RU,1666485498,73.5069,80.5464,24.66,90,100,13.53
22,Bumba,CD,1666485499,2.1833,22.4667,70.34,93,64,0.72
23,Bluff,NZ,1666485500,-46.6,168.3333,57.94,59,100,10.0
24,Raahe,FI,1666485500,64.6833,24.4833,41.09,58,87,18.88
25,Nikolskoye,RU,1666485501,59.7035,30.7861,39.78,95,20,5.7
26,Chokurdakh,RU,1666485501,70.6333,147.9167,12.81,95,100,11.05
27,Lorengau,PG,1666485206,-2.0226,147.2712,85.42,59,79,6.35
28,Pevek,RU,1666485206,69.7008,170.3133,19.65,95,100,8.46
29,Olinda,BR,1666485502,-8.0089,-34.8553,80.33,69,40,6.91
30,Atuona,PF,1666485502,-9.8,-139.0333,77.05,66,4,15.93
31,Ust-Nera,RU,1666485207,64.5667,143.2,2.91,94,100,4.23
32,Qaanaaq,GL,1666485503,77.484,-69.3632,25.25,94,100,7.47
33,Arraial do Cabo,BR,1666485504,-22.9661,-42.0278,72.41,89,88,12.24
34,Idanre,NG,1666485504,7.1127,5.1159,71.04,95,47,1.86
35,Hithadhoo,MV,1666485505,-0.6,73.0833,81.43,72,86,6.76
36,Severo-Kuril'sk,RU,1666485505,50.6789,156.125,40.39,74,100,4.0
37,Ushuaia,AR,1666485210,-54.8,-68.3,44.26,81,100,11.5
38,Zyryanka,RU,1666485506,65.75,150.85,5.74,85,53,6.96
39,Chui,UY,1666485506,-33.6971,-53.4616,55.8,97,38,5.93
40,São Filipe,CV,1666485507,14.8961,-24.4956,79.48,70,100,5.01
41,Vaini,TO,1666485507,-21.2,-175.2,73.83,79,100,24.96
42,Calderitas,MX,1666485508,18.55,-88.25,78.91,61,20,6.91
43,Dhaka,BD,1666485246,23.7104,90.4074,80.58,78,75,0.0
44,Mount Gambier,AU,1666485508,-37.8333,140.7667,55.31,88,100,14.97
45,Kampong Cham,KH,1666485508,11.9934,105.4635,78.91,86,49,7.78
46,Guerrero Negro,MX,1666485213,27.9769,-114.0611,69.35,72,40,13.27
47,Tuktoyaktuk,CA,1666485213,69.4541,-133.0374,17.6,86,20,6.91
48,Jamestown,US,1666485455,42.097,-79.2353,63.99,54,0,10.36
49,Jiayuguan City,CN,1666485509,39.8167,98.3,47.82,28,0,3.51
50,Hofn,IS,1666485510,64.2539,-15.2082,37.33,74,100,9.01
51,Ponta do Sol,PT,1666485511,32.6667,-17.1,68.72,81,62,6.42
52,Torbay,CA,1666485340,47.6666,-52.7314,52.57,91,0,14.97
53,Kahului,US,1666485269,20.8947,-156.47,93.22,48,40,19.57
54,Shawnee,US,1666485511,39.05,-95.7669,76.95,49,0,12.66
55,Rikitea,PF,1666485512,-23.1203,-134.9692,71.96,80,100,21.16
56,Saint-Joseph,RE,1666485513,-21.3667,55.6167,68.38,82,100,4.61
57,Alice Springs,AU,1666485513,-23.7,133.8833,76.55,47,2,8.05
58,Port Elizabeth,ZA,1666485514,-33.918,25.5701,64.69,87,0,12.66
59,Coquimbo,CL,1666485514,-29.9533,-71.3436,55.13,94,100,5.75
60,Kibre Mengist,ET,1666485515,5.8833,38.9833,56.88,98,94,1.5
61,Saint-Philippe,RE,1666485515,-21.3585,55.7679,69.39,85,100,8.05
62,Brae,GB,1666485516,60.3964,-1.353,51.78,92,100,14.92
63,Butaritari,KI,1666485516,3.0707,172.7902,81.25,70,93,6.17
64,Dunedin,NZ,1666485219,-45.8742,170.5036,62.67,51,31,1.7
65,Te Anau,NZ,1666485517,-45.4167,167.7167,58.77,59,100,9.71
66,George Town,MY,1666485517,5.4112,100.3354,82.33,92,20,7.0
67,Ocampo,MX,1666485517,21.65,-101.5,64.51,59,100,10.92
68,Hermanus,ZA,1666485221,-34.4187,19.2345,65.8,86,100,13.13
69,Pisco,PE,1666485518,-13.7,-76.2167,60.85,82,0,12.66
70,Yumen,CN,1666485518,40.2833,97.2,47.1,31,4,3.31
71,Avarua,CK,1666485519,-21.2078,-159.775,80.65,78,20,6.91
72,Opuwo,NA,1666485519,-18.0607,13.84,76.12,27,89,5.46
73,Kiama,AU,1666485520,-34.6833,150.8667,65.68,94,100,1.01
74,Akureyri,IS,1666485520,65.6835,-18.0878,22.93,93,0,4.61
75,Bambous Virieux,MU,1666485521,-20.3428,57.7575,70.05,88,40,2.3
76,Upernavik,GL,1666485521,72.7868,-56.1549,34.36,95,100,14.23
77,Kiryat Gat,IL,1666485521,31.61,34.7642,67.82,69,0,4.79
78,Port Hedland,AU,1666485224,-20.3167,118.5667,84.25,45,1,12.66
79,Bonthe,SL,1666485522,7.5264,-12.505,77.0,87,52,3.38
80,Barrow,US,1666485522,71.2906,-156.7887,26.62,93,100,21.85
81,Puerto Ayora,EC,1666485523,-0.7393,-90.3518,67.55,89,86,5.99
82,Novonikolayevskaya,RU,1666485523,45.5892,38.3689,46.69,72,16,6.8
83,Siddhapur,IN,1666485523,23.9167,72.3833,70.92,36,0,6.67
84,Kirensk,RU,1666485524,57.7853,108.1119,35.1,93,100,10.38
85,Oussouye,SN,1666485524,12.485,-16.5469,78.98,86,0,4.65
86,Fortuna,US,1666485525,40.5982,-124.1573,59.92,70,40,14.97
87,Hasaki,JP,1666485526,35.7333,140.8333,68.29,61,10,4.5
88,Mataura,NZ,1666485228,-46.1927,168.8643,68.52,36,100,10.2
89,Kita,ML,1666485526,13.0349,-9.4895,79.0,52,100,3.49
90,Borba,BR,1666485527,-4.3878,-59.5939,76.78,87,100,2.71
91,Thompson,CA,1666485527,55.7435,-97.8558,33.96,75,75,2.3
92,Vila Franca do Campo,PT,1666485528,37.7167,-25.4333,64.81,76,100,12.86
93,Kenitra,MA,1666485528,34.261,-6.5802,61.56,88,100,4.36
94,Fairbanks,US,1666485528,64.8378,-147.7164,34.61,94,100,3.44
95,Myingyan,MM,1666485529,21.4667,95.3833,79.11,77,94,5.59
96,El Seibo,DO,1666485529,18.7641,-69.0375,74.25,92,0,4.63
97,Gdov,RU,1666485529,58.7406,27.8122,40.73,87,100,9.17
98,Goianésia,BR,1666485231,-15.3175,-49.1175,77.85,55,100,0.07
99,Virginia Beach,US,1666485530,36.8529,-75.978,62.02,72,75,8.05
100,Cururupu,BR,1666485530,-1.8283,-44.8683,76.35,86,92,4.16
101,Olafsvik,IS,1666485531,64.8945,-23.7142,41.16,79,100,8.93
102,Xam Nua,LA,1666485531,20.4197,104.0439,69.66,76,91,1.68
103,Cabo San Lucas,MX,1666485382,22.8909,-109.9124,85.3,82,100,13.18
104,Antofagasta,CL,1666485532,-23.65,-70.4,58.28,75,23,3.02
105,Saint Paul Harbor,US,1666485532,57.79,-152.4072,42.31,81,100,8.05
106,Nantucket,US,1666485533,41.2835,-70.0995,57.31,88,0,5.75
107,Alihe,CN,1666485533,50.5667,123.7167,32.99,56,2,4.74
108,Saint Anthony,US,1666485534,45.0205,-93.218,71.74,45,0,6.91
109,Carnarvon,AU,1666485235,-24.8667,113.6333,71.4,67,0,8.34
110,Ust-Maya,RU,1666485535,60.4167,134.5333,13.24,87,95,1.23
111,San Quintín,MX,1666485535,30.4833,-115.95,66.45,72,91,9.13
112,Loukhi,RU,1666485535,66.0764,33.0381,34.45,80,78,11.97
113,Alofi,NU,1666485236,-19.0595,-169.9187,75.09,94,100,3.44
114,Sur,OM,1666485536,22.5667,59.5289,76.77,57,0,6.4
115,Tilichiki,RU,1666485537,60.4667,166.1,16.86,83,46,6.2
116,Valparaíso,CL,1666485239,-33.0393,-71.6273,53.24,87,100,6.91
117,Ţahţā,EG,1666485537,26.7693,31.5021,70.03,46,0,7.09
118,Touros,BR,1666485238,-5.1989,-35.4608,78.3,79,5,13.42
119,Port Alfred,ZA,1666485538,-33.5906,26.891,63.18,84,10,3.0
120,La Ronge,CA,1666485538,55.1001,-105.2842,37.65,60,20,2.3
121,Presidencia Roque Sáenz Peña,AR,1666485539,-26.7852,-60.4388,70.5,58,15,7.67
122,Tommot,RU,1666485241,58.9564,126.2925,27.07,92,100,3.71
123,Lavrentiya,RU,1666485539,65.5833,-171.0,33.04,99,100,6.15
124,Taguatinga,BR,1666485540,-12.3857,-46.5711,81.25,45,75,0.45
125,Caravelas,BR,1666485540,-17.7125,-39.2481,76.23,84,99,9.89
126,Rome,US,1666485541,43.2128,-75.4557,54.73,69,0,0.0
127,Chara,RU,1666485541,56.9064,118.2631,21.29,65,9,2.53
128,Knysna,ZA,1666485542,-34.0363,23.0471,60.93,90,3,4.5
129,Kununurra,AU,1666485252,-15.7667,128.7333,101.32,21,3,6.24
130,New Norfolk,AU,1666485543,-42.7826,147.0587,54.9,79,100,4.0
131,Tiksi,RU,1666485543,71.6872,128.8694,17.96,93,100,5.53
132,Byron Bay,AU,1666485543,-28.65,153.6167,67.96,95,100,19.89
133,Khani,GE,1666485544,41.9563,42.9566,33.37,72,5,5.41
134,Korla,CN,1666485545,41.7597,86.1469,47.59,42,0,3.94
135,Methóni,GR,1666485247,36.8197,21.7049,63.21,74,0,11.74
136,Zhigansk,RU,1666485545,66.7697,123.3711,15.85,96,99,9.69
137,Necochea,AR,1666485546,-38.5473,-58.7368,39.2,84,0,9.04
138,Grand Gaube,MU,1666485546,-20.0064,57.6608,70.2,77,0,3.0
139,Lázaro Cárdenas,MX,1666485249,17.9583,-102.2,77.99,84,100,1.34
140,Saint-Leu,RE,1666485547,-21.15,55.2833,71.31,78,100,0.89
141,Baghdad,IQ,1666485387,33.3406,44.4009,67.91,60,40,6.91
142,Boende,CD,1666485548,-0.2167,20.8667,70.03,98,100,1.14
143,Cidreira,BR,1666485548,-30.1811,-50.2056,62.74,87,4,5.79
144,Grakhovo,RU,1666485549,56.0502,51.9676,27.25,76,2,6.2
145,Awjilah,LY,1666485549,29.1081,21.2869,63.86,54,0,8.16
146,Mossamedes,AO,1666485550,-15.1961,12.1522,67.64,86,59,4.9
147,Mar del Plata,AR,1666485330,-38.0023,-57.5575,50.09,68,40,4.61
148,São José da Coroa Grande,BR,1666485551,-8.8978,-35.1478,76.19,85,23,8.77
